Rounds,Max Dice User,Min Dice User,User Score,Computer Score
7,6,1,6,11
50,6,1,52,32
150,6,1,133,168
250,6,1,263,215
5000,6,1,4796,5000
700,6,1,702,652
850000,6,1,826406,826570
20,6,1,24,20
20,6,1,29,20
38,6,1,45,43
7,3,1,1,13
50,6,1,47,45
4,5,1,4,8
3,5,4,6,0
2,3,1,0,1
1,2,2,0,1
9,6,1,12,8
7,6,2,9,3
7,6,1,6,4
17,6,1,21,13
14,6,1,11,15
14,6,2,18,7
12,6,1,18,9
8,6,1,13,5
56,6,1,45,44
4,6,6,17,0
3,5,1,0,7
12,6,3,27,2
6,5,1,6,4
4,6,1,6,3
4,5,2,6,1
3,6,3,1,1
3,6,5,13,0
4,6,1,4,2
